BOROUGH,BUILDING CLASS CATEGORY,RESIDENTIAL UNITS,COMMERCIAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,SALE PRICE,SALE DATE
Bronx,02  TWO FAMILY DWELLINGS,2,0,2375,2040,2004,545000,5/14/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2375,2040,2004,465000,7/29/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2375,2142,2007,537000,5/13/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2399,3381,2007,524421,1/30/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,3900,1584,1950,475000,5/15/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1806,2106,1955,277000,11/19/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1936,1894,1950,610844,4/28/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,5084,2250,1949,514000,8/27/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2508,2310,1960,475000,11/19/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,3097,2200,1996,460000,11/18/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,3120,2146,1995,430000,8/27/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,3280,2365,2010,462000,3/31/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1938,3028,2010,500000,7/1/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2086,3076,2010,524700,1/9/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,3050,3076,2010,529000,5/20/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1820,1920,1961,290000,10/28/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2000,1836,1964,390000,12/22/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2816,2843,1964,422000,3/6/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2684,1952,1955,545000,9/24/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2684,1952,1955,319160,4/17/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2090,2902,1965,405800,2/24/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1995,2714,1965,440000,5/27/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2500,1294,1925,400000,11/9/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2317,2270,1998,95000,12/11/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2628,2270,1999,499000,6/29/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2792,2270,1999,502000,12/30/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1230,1683,1965,295000,8/31/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,3675,2088,1925,430500,5/15/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1710,1872,1959,380000,12/18/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1574,1728,1962,395000,6/11/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2660,1698,2005,330000,4/16/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2660,2700,1932,235000,7/21/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2375,2904,1910,280000,3/13/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2712,2083,2007,450500,5/15/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1940,2083,2007,450500,5/15/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1940,2083,2007,450500,5/15/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2712,2083,2007,450500,5/15/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,4500,3250,1950,280000,8/17/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2534,1688,1924,290000,4/8/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,4678,2000,1901,414000,12/23/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2500,2532,1925,510000,7/8/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2500,1408,1920,335000,6/29/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,4750,2057,1945,420000,1/28/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,3555,1640,1940,325000,10/1/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2375,2128,1950,420000,5/28/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,1924,2700,1950,318000,10/5/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2500,2800,1959,455000,1/15/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2100,2184,1960,350000,10/23/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,3468,2898,2014,539672,2/13/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,5000,2080,1901,340000,11/2/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,3750,3868,1932,565000,11/10/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,7125,1584,1925,60000,5/22/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,4750,1260,1930,270000,4/27/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2167,2160,2005,306000,3/27/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,2549,2400,2000,550000,7/14/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,9579,3300,1969,655000,8/27/2015
Bronx,02  TWO FAMILY DWELLINGS,2,0,3144,1712,2008,520000,12/9/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,4750,2592,1925,5000,10/19/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,1900,2976,1901,650000,10/20/2015
Bronx,03  THREE FAMILY DWELLINGS,3,0,1900,2976,1901,335000,2/10/2015
